Users with Access,Roles with Access
py1,AccessAnalyzerTrustedService
py1,Admin
,aes-siem-deploy-role-for-lambda
,aes-siem-deploy-role-for-lambda
,aes-siem-es-loader-for-ec2
,aes-siem-snapshot-role
,AI-Solution-Kit-AiSolutionKitApiCloudWatchRole3E6FA-ZyheMp7kX532
,all-in-one-api-AllInOneAIInferenceFunctionRole-RDQZY5R2M8OF
,all-in-one-api-AllInOneAIInferenceFunctionRole-RDQZY5R2M8OF
,all-in-one-api-AllInOneAITrainingJobFunctionRole-102XFNBKVYX2E
,all-in-one-api-AllInOneAITrainingJobFunctionRole-102XFNBKVYX2E
,AmazonDataZoneBootstrapRole
,AmazonDataZoneDomainExecutionRole
,AmazonDataZoneServiceRole
,AmazonEKSNodeRole-test1
,AmazonSageMaker-ExecutionRole-20220323T204208
,AmazonSageMaker-ExecutionRole-20230712T160311
,AmazonSageMaker-ExecutionRole-20230905T093882
,AmazonSagemakerCanvasForecastRole-1671547212638
,AmazonSageMakerServiceCatalogProductsApiGatewayRole
,AmazonSageMakerServiceCatalogProductsCloudformationRole
,AmazonSageMakerServiceCatalogProductsCodeBuildRole
,AmazonSageMakerServiceCatalogProductsCodePipelineRole
,AmazonSageMakerServiceCatalogProductsEventsRole
,AmazonSageMakerServiceCatalogProductsExecutionRole
,AmazonSageMakerServiceCatalogProductsFirehoseRole
,AmazonSageMakerServiceCatalogProductsGlueRole
,AmazonSageMakerServiceCatalogProductsLambdaRole
,AmazonSageMakerServiceCatalogProductsLaunchRole
,AmazonSageMakerServiceCatalogProductsUseRole
,amplify-login-lambda-11acd9d1
,ap-southeast-1_qCp9Qvbxt_Full-access
,ap-southeast-1_qCp9Qvbxt_Full-access
,ap-southeast-1_qCp9Qvbxt_Manage-only
,AVMContainersUserRole
,aws-ec2-spot-fleet-tagging-role
,aws-elasticbeanstalk-ec2-role
,aws-elasticbeanstalk-service-role
,AWS-QuickSetup-StackSet-Local-AdministrationRole
,AWS-QuickSetup-StackSet-Local-ExecutionRole
,aws-quicksight-service-role-v0
,aws-quicksight-service-role-v0
,AWSAthenaSparkExecutionRole-25dktgd7qj
,AWSBackupDefaultServiceRole
,AWSCloud9SSMAccessRole
,awslogs.prod.kelex.molecule.toppatterns
,AWSNeptuneNotebookRole-database-1
,AWSReservedSSO_AdministratorAccess_c9bf866df3ea2e73
,AwsSecurityAudit
,AwsSecurityNacundaAudit
,AWSServiceRoleForAccessAnalyzer
,AWSServiceRoleForAmazonEKS
,AWSServiceRoleForAmazonEKSForFargate
,AWSServiceRoleForAmazonEKSNodegroup
,AWSServiceRoleForAmazonElasticFileSystem
,AWSServiceRoleForAmazonEMRServerless
,AWSServiceRoleForAmazonGuardDuty
,AWSServiceRoleForAmazonGuardDutyMalwareProtection
,AWSServiceRoleForAmazonInspector2
,AWSServiceRoleForAmazonMacie
,AWSServiceRoleForAmazonOpenSearchIngestionService
,AWSServiceRoleForAmazonOpenSearchService
,AWSServiceRoleForAmazonSageMakerNotebooks
,AWSServiceRoleForAmazonSSM
,AWSServiceRoleForAPIGateway
,AWSServiceRoleForApplicationAutoScaling_DynamoDBTable
,AWSServiceRoleForApplicationAutoScaling_ECSService
,AWSServiceRoleForApplicationAutoScaling_KafkaCluster
,AWSServiceRoleForApplicationAutoScaling_LambdaConcurrency
,AWSServiceRoleForApplicationAutoScaling_SageMakerEndpoint
,AWSServiceRoleForAppSync
,AWSServiceRoleForAutoScaling
,AWSServiceRoleForAWSCloud9
,AWSServiceRoleForAWSLicenseManagerRole
,AWSServiceRoleForBackup
,AWSServiceRoleForCloudFrontLogger
,AWSServiceRoleForComputeOptimizer
,AWSServiceRoleForConfig
,AWSServiceRoleForDevOpsGuru
,AWSServiceRoleForDynamoDBKinesisDataStreamsReplication
,AWSServiceRoleForEC2Spot
,AWSServiceRoleForECS
,AWSServiceRoleForElastiCache
,AWSServiceRoleForElasticLoadBalancing
,AWSServiceRoleForEMRCleanup
,AWSServiceRoleForGlobalAccelerator
,AWSServiceRoleForInternetMonitor
,AWSServiceRoleForIsengardControllerRoleInternal
,AWSServiceRoleForKafka
,AWSServiceRoleForKeyManagementServiceMultiRegionKeys
,AWSServiceRoleForLakeFormationDataAccess
,AWSServiceRoleForLakeFormationDataAccess
,AWSServiceRoleForLambdaReplicator
,AWSServiceRoleForMarketplaceLicenseManagement
,AWSServiceRoleForOrganizations
,AWSServiceRoleForRDS
,AWSServiceRoleForRedshift
,AWSServiceRoleForResourceExplorer
,AWSServiceRoleForSecurityHub
,AWSServiceRoleForServiceQuotas
,AWSServiceRoleForSSO
,AWSServiceRoleForSupport
